	src	tgt
178	이 범죄사건은 영원히 해결될 수 없었다.	Este caso criminal jamás pudo ser resuelto.
179	당신에게는 진술을 거부할 권리가 있습니다.	Tienes el derecho a rechazar un comunicado.
180	우리는 삼촌의 방문을 기쁜 마음으로 기다리고 있다.	Esperamos la visita de nuestro tío con el corazón alegre.
181	그는 왼팔을 부러뜨렸다.	Él se rompió el brazo izquierdo.
182	너 수영할 수 있니?	¿Puedes nadar?
183	친구는 도서관에 공부하러 와요	Mi amigo ha venido a la biblioteca para estudiar.
184	친구는 도서관에 공부하러 와요	Mi amigo viene a la biblioteca para estudiar.
185	존이 공항에 있어요.	John está en el aeropuerto.
186	토마스한테 전화해요.	Hablo por teléfono con Tomás.
187	한 상자에 얼마예요?	¿A cuánto la caja?
188	주소하고 집 전화 번호를 쓰세요.	Escribe la dirección y el número de teléfono de casa.
189	한국어를 배우고 싶어요.	Quiero aprender coreano.
190	선생님을 만나고 싶어요.	Quiero ver al maestro.
191	중국에 가고 싶었어요	Yo quería ir a China.
192	어디에 가고 싶으세요?	¿Adónde quiere ir?
193	저는 일본어 선생님이 되고 싶어요.	Quiero ser un maestro de japonés.
194	제시카가 노래를 부르고 있었어요.	Jessica estaba cantando una canción.
195	교수님이 전화를 하고 계세요.	El profesor está haciendo una llamada.
196	어머니가 케이크를 만들고 계세요.	Madre está haciendo un pastel.
197	어제는 일찍 일어났어요.	Ayer me desperté temprano.
198	한국말을 배우기가 힘들죠.	Es batalloso aprender coreano, ¿no?
199	집중력이 점차 떨어진다.	Mi concentración gradualmente se disminuye.
200	이리 오십시오.	Venga por aquí.
201	2 곱하기 7의 결과는 14이다.	El resultado de dos por siete es catorce.
202	그는 전화를 기다리고 있다.	Él está esperando la llamada.
203	그는 전화를 기다리고 있다.	Él está esperando una llamada.
204	택시 한 대만 불러 주시겠습니까?	¿Le llamo un taxi?
205	전혀 위험을 감수하지 않으면, 아무 것도 얻을 수 없다.	Si nunca se aceptan riesgos, no se puede obtener nada.
206	신의 존재를 믿니?	¿Crees en la existencia de Dios?
207	그들은 죽은 후의 삶이 있다고 믿는다.	Ellos creen que hay vida después de la muerte.
208	오류를 범하는 것은 인간의 속성이다.	El cometer errores es una cualidad humana.
209	신이 세상을 창조하였다.	Dios creó el mundo.
210	뭐라고?	¿Que qué?
211	형님께선 어떻게 이 먼 길을 오셨습니까?	¿Cómo ha venido usted por este camino tan largo?
212	형님께선 어떻게 이 먼 길을 오셨습니까?	¿Cómo ha venido usted tan lejos?
213	네 개가 어디 있어?	¿Dónde está tu perro?
214	나는 1948년 11월 22일에 태어났다.	Nací el 22 de noviembre de 1948.
215	비가 그쳤다.	Ha parado de llover.
216	비가 그쳤다.	Ha dejado de llover.
217	비가 그쳤다.	Paró de llover.
218	공항에서부터 호텔까지는 거리가 얼마나 됩니까?	¿Cuánta es la distancia desde el aeropuerto hasta el hotel?
219	알파벳은 몇 개의 글자로 되어 있습니까?	¿De cuántas letras se compone el abecedario?
220	나는 로마의 역사에 관한 책을 찾고 있다.	Estoy buscando libros acerca de la historia romana.
221	이 카메라가 어떻게 작동하지?	¿Cómo funciona esta cámara de fotos?
222	문은 자동으로 닫힌다.	La puerta se cierra automáticamente.
223	우리는 3시에 만난다.	Nos veremos a las tres.
224	그녀는 목소리가 아주 좋다.	Ella tiene una voz muy buena.
225	그는 소프라노로 노래부른다.	Él canta soprano.
226	악기 연주할 줄 아세요?	¿Sabe tocar instrumento?
227	매리의 눈에 눈물이 고였다.	Los ojos de Mary lagrimeaban.
228	아무튼 좋았겠다.	De todos modos, ha de haber estado bien.
229	좀더 준비할 시간이 필요해.	Necesitamos un poco más de tiempo para preparar.
230	그렇다면 돌아가야지.	Si es así, hay que regresar.
231	우리가 잘못 들은 거 아닐까?	¿No será que le entramos mal?
232	그녀의 시선을 등 뒤에서 느꼈다.	Sentí su mirada en mi espalda.
233	안녕하세요,예약을 했는데요, 제이름은 카오리 요시카와 입니다. 확인카드는 여기있습니다.	Hola, hice una reservación, mi nombre es Kaori Yoshikawa. Aquí está la tarjeta de confirmación.
234	이 협정은 무기한 존속한다.	Este acuerdo continuará en vigencia indefinidamente.
235	한국에서 무슨 언어를 말해요?	¿Qué idioma se habla en Corea?
236	그사람들이 뭐 해요?	¿Qué hace esa gente?
237	난 그에게 동의하지 않아.	No estoy de acuerdo con él.
238	왜 그 단어를 잊어버렸니?	¿Por qué olvidaste esa palabra?
239	바닷물에 잔잔한 파도가 일어난다.	En el mar salen olas suaves.
240	그 영화가 좋다고 하는 이유는, 예슬적인 측면에서 내용뿐만 아니라, 음악도 좋기 때문이에요.	La razón por la cual digo que la película está buena, no es sólo por el contenido artístico, porque la música también es buena.
241	음악과 영화의 구조가 조화를 이루고 있어요.	La música y la estructura de la película están en armonía.
242	비싼 중국식당에 초대받았어요.	Me invitaron a un restaurante chino que era caro.
243	언제부터 에스페란토를 배웠어요?	¿Desde cuándo aprendes esperanto?
244	다음 주 후에 다시 볼 수 있을 지 아직 몰라요.	Todavía no sé si podremos volver a vernos la semana que viene.
245	그는 선불교에 대한 글을 번역하셨어요.	Él tradujo el texto que se trata sobre el budismo zen.
246	대학원에 진학하려구요.	Quisiera matricularme en la escuela de posgrado.
247	일정은 아래의 첨부파일을 확인해 주십시오.	Respecto al programa, por favor revise el documento adjunto.
248	많은 관심과 참가 바랍니다.	Espero que tengan mucho interés y que participen.
249	여러 모로 바쁘신데도 흔쾌히 도와 주셔서 감사드립니다.	Muchas gracias por estar tan dispuesto a ayudarme estando tan ocupado con tantas cosas.
250	그는 나를 만나서 왔어요.	Él vino a verme.
251	가고 싶어.	Quiero ir.
252	무슨 일이야?	¿Qué pasa?
253	매 한가지다.	Todo es igual.
254	제비 한 마리를 보고 봄이 왔다고 말할 수 없다.	No se puede decir que ha llegado el verano al sólo ver una golondrina.
255	그의 새로운 소설은 읽을만한 가치가 있다.	Su nueva novela es digna de leerse.
256	네가 한 일은 기대에 못 미쳤어.	Tu trabajo no cumplió con nuestras expectativas.
257	이 투명한 액체는 독 성분을 포함하고 있다.	Este líquido transparente contiene ingredientes ponzoñosos.
258	물은 투명하다.	El agua es transparente.
259	그는 처음 헬스클럽에 갔을때는 정말 열심이었지만 몇 달이 지난후 게으름을 피우기 시작했고 결국 관두고 말았다.	Él estaba realmente entusiasmado cuando empezó a ir al gimnasio, pero después de algunos meses le empezó a dar flojera y eventualmente dejó de ir.
260	나의 사촌이 아직 어려서, 그들은 그에게 좀 더 기회를 줬다.	Como mi sobrino aún era joven, ellos le dieron un poco más de oportunidad.
261	나 좀 내버려 둬.	Déjame en paz.
262	그는 게으름 때문에 회사에서 짤렸다.	Él fue echado de la compañía por flojo.
263	내가 피곤한 건 더워서라기 보다 습해서야.	Estoy cansado, más que por hacer calor, por que está humedo.
264	우리 한동안 못 봤지!	No te hemos visto en un tiempo.
265	하루에 몇 번이나 거울을 보나요?	¿Como cuántas veces ves el espejo por día?
266	아이들은 들어올 수 없습니다.	Los niños no pueden entrar.
267	천에 백을 더하면 천백이 된다.	Si le agregas cien a mil, se vuelve mil cien.
268	이건 비밀이에요.	Esto es un secreto.
269	그들은 조각 흉내를 내고 있다.	Ellos imitan a una escultura.
270	일본의 날씨는 영국보다 따듯하다.	El clima de Japón es más cálido que el de Inglaterra.
271	포르투갈은 이웃이 하나 있고 그건 스페인이다.	Portugal tiene sólo un vecino y es España.
272	나는 너의 가장 친한 친구도 가장 나쁜 적도 될 수 있어.	Puedo ser tu mejor amiga o tu peor enemiga.
273	나는 너의 가장 친한 친구도 가장 나쁜 적도 될 수 있어.	Puedo ser tu mejor amigo o tu peor enemigo.
274	그 남자는 자가용이 있다.	Ese hombre tiene su propio carro.
275	그 사람은 동작이 빨라요.	Esa persona reacciona rápido.
276	내 생각에는 이게 가장 좋은 방법 같아.	Me parece que esta es la mejor manera.
277	이 문장은 괜찮은데.	Esta frase está bien.
278	이 문장은 괜찮은데.	¡Pero está bien esta frase!
279	난 마실꺼리를 준비할께.	Prepararé una bebida.
280	티켓은 각각 20엔 입니다.	Cada boleto vale veinte yen.
281	그녀는 스무 살에 선생님이 되었다.	Ella a los veinte años se hizo profesora.
282	우리 중 아무도 그 사람의 의견에 반대하지 않는다.	Ninguno de nosotros está en contra de su idea.
283	나는 역으로 들어오는 기차를 봤다.	Yo vi al tren entrando a la estación.
284	그 케이크는 레몬 맛이 조금 난다.	Ese pastel tiene un saborcito a limón.
285	인간은 이성이 있지만 동물은 없다.	El hombre es lógico pero el animal no.
286	탐에게 돌아오자 마자 전화해 달라고 물어봐 주세요.	Pídele a Tom que me llame tan pronto como regrese.
287	존은 나의 가장 친한 친구야.	Juan es mi mejor amigo.
288	탐은 메리와 뽀뽀하고 싶었지만 시도할 용기가 없었다.	Tom quería besar a Mary, pero no tuvo la osadía de intentarlo.
289	그녀가 돌아오면 나는 떠날거야.	Cuando ella regrese, yo me iré.
290	나는 건축을 얼어있는 음악이라고 부른다.	"Le llamo a la arquitectura, ""música congelada""."
291	그는 존이라는 세례명을 받았다.	"Él recibió el nombre de pila ""John""."
292	소년은 노예로 팔렸다.	El chico fue vendido como esclavo.
293	너 도쿄 타워 본적 없지?	No has visto la Torre de Tokio, ¿no?
294	그는 예를 들어 문제를 설명했다.	Ilustró el problema con un ejemplo.
295	둘 중 하나를 선택하세요.	Elija uno de los dos.
296	이건 사고가 아냐.	Esto no es un accidente.
297	그는 그녀를 다시 만날 정도로 어리석다.	Él es tan tonto como para volver a verla.
298	지금 바빠요.	Ahora estoy ocupado.
299	지금 바빠요.	Ahora estoy ocupada.
300	나는 내년에 중국어를 배우고 싶다.	Quiero aprender chino el año que viene.
301	나는 내년에 중국어를 배우고 싶다.	Yo quiero aprender chino el próximo año.
302	테니스는 재미있다.	El tenis es divertido.
303	당신을 도와줄 수 있는 괜찮은 변호사를 알고 있습니다.	Conozco un buen abogado que puede ayudarlo a usted.
304	그는 작년에 유언장을 썼습니다.	Él escribió su testamento el año pasado.
305	넌 너의 역할을 받아들일 필요가 있어.	Necesitas aceptar tu papel.
306	누가 우릴 보러 버밍험에 와요?	¿Quién va a venir a Birmingham a vernos?
307	전 한국 요리를 좋아해요.	Me gusta la comida coreana.
308	흥! 아무도 내가 만드는 문장을 번역 안하고 있어!	¡Uf! ¡Nadie está traduciendo las oraciones que compongo!
309	김씨는 그 사람보다 두살 더 나이가 많습니다.	El señor Kim es dos años mayor que esa persona.
310	이스마엘이라고 부르세요.	Llámeme Ismael.
311	달걀이 아직 뜨겁다.	Los huevos todavía están calientes.
312	아보카도는 아보카도 나무의 열매입니다.	El aguacate es el fruto del aguacatero.
313	아보카도는 아보카도 나무의 열매입니다.	Los aguacates son los frutos de los aguacateros.
314	"스웨덴 사람이세요? ""아니요, 스위스 사람이예요."""	"¿Es usted sueco? ""No, soy suizo."""
315	뭔가 들린 사람 있어?	¿Alguien oyó algo?
316	내가 어릴 때는 바다에 수영하러 가곤 했었지.	Cuando era niño, acostumbraba ir a nadar al mar.
317	술 말고 내가 제일 좋아하는 음료수는 아보카도 쉐이크야. 흑, 너무 맛있어!	Aparte de licor, la bebida que más me gusta es la malteada de aguacate. Uy, ¡qué rica!
318	난 그저 최선을 다하고 있을 뿐이다.	Solo estoy haciendo lo mejor que puedo.
319	이 영어 책은 내가 읽기엔 너무 어렵다.	Este libro en inglés está muy difícil para mí leer.
320	이 여자 엄청 예쁘다.	Esta mujer está muy bonita.
321	아이와 술취한 사람은 거짓말 하지 않는다.	Los niños y los borrachos no mienten.
322	정육면체의 부피를 어떻게 계산합니까?	¿Cómo se calcula el volumen de un cubo?
323	먹으러 갈만한 괜찮은 식당을 골라주세요.	Escoja un buen restaurante para ir a comer.
324	우리 애들은 학교에 있어요.	Mis hijos están en la escuela.
325	우리 애들은 학교에 있어요.	Nuestros hijos están en la escuela.
326	그걸 누가 가르쳐 줬어요?	¿Quién te enseñó eso?
327	그녀를 찾아야 한다.	Tengo que encontrarla.
328	나는 네 고양이가 좋은데, 네 고양이는 나를 싫어하네.	Me agrada tu gato, pero tu gato me odia.
329	제 말이 들리세요?	¿Me oye?
330	제 말이 들리세요?	¿Oye mis palabras?
331	조심하십시오. 길 위에 소가 있습니다.	¡Cuidado! ¡Hay una vaca en la carretera!
332	그의 용감한 행동은 메달을 받을 만한 가치가 있다.	Sus temerarias acciones son dignas de una medalla.
333	숙제 다 끝냈니?	¿Terminaste tu tarea?
334	압력이 낮으면, 끓는 점도 낮다.	Si está baja la presión, el punto de ebullición también es bajo.
335	잘 있어라, 쿠바.	Que estés bien, Cuba.
336	그는 불어로 말하고 쓸 수 있다.	Él puede hablar y escribir en francés.
337	난 죽음이 두렵지 않다.	Yo no le temo a la muerte.
338	난 죽음이 두렵지 않다.	No le temo a la muerte.
339	시도하지 않는 것이 실패하는 것이다.	No intentar es fracasar.
340	오해하지 마.	No me malentiendas.
341	그를 자주 보았습니까?	¿Lo viste seguido?
342	그를 자주 보았습니까?	¿Lo veías seguido?
343	직접 하신 건가요?	¿Lo hizo usted mismo?
344	너무너무 미안해서 구멍으로 들어가서 죽어버리고 싶어.	Lo siento tanto tanto que quisiera entrar a un hoyo y morir.
345	천천히.	Despacio.
346	아뇨, 노래 안하고 있는데요?	No, no estoy cantando.
347	우린 이탈리아 피자집에 갔어요.	Fuimos a una pizzería italiana.
348	언제까지나 친구로 지내자.	Pasémosla como amigos para siempre.
349	언제까지나 친구로 지내자.	Seamos buenos amigos para siempre.
350	돈인 별로 없지만, 너와 함께라면 행복해.	Casi no tengo dinero, pero estoy feliz si estoy contigo.
351	그거 너무 낭만적이다!	¡Eso es muy romántico!
352	이 바나나들 익은 거예요?	¿Ya maduraron estos plátanos?
353	마음먹기에 따라 똑같은 세상이 지옥이 될 수도 있고, 천국이 될 수도 있다.	Según la perspectiva, el mismo mundo puede ser un infierno, o puede ser el paraíso.
354	그녀가 언제 돌아올지 모르겠다.	No sé cuándo volverá.
355	사람은 일을 해야한다.	Una persona debe trabajar.
356	그녀는 이틀전에 돌아가셨다.	Ella falleció hace dos días.
357	항상 감사드리며 선생님의 노고에 깊은 감사를 표하며...	Siempre agradece y expresa tu gratitud por el esfuerzo del maestro...
358	아래의 도표에 적합한 날짜를 기입해 주시면 모든 분들이 다 참석할 수 있는 날을 정하겠습니다.	Si nos hace el favor de llenar la tabla de abajo con los días en los que pueda, fijaremos un día en el que todos puedan asistir.
359	시청 앞에는 큰 주차장이 있다.	Hay un gran estacionamiento en frente del ayuntamiento.
360	이 안경은 누구 것이지?	¿De quién son estas gafas?
